dataset,model,test_r2,test_mse,train_r2,kl_divergence,n_features,n_train_samples,n_components,variance_explained,r_beta_optimal,r_H_optimal,bic_score
bike_sharing_day,LinearRegression,0.9841728168128298,63465.141540399796,0.9837482345923936,4.995989205673669,14,584,,,,,
bike_sharing_day,PCA,-4.243309316427689,21025053.161508042,-4.699806995386962,13358968.893461999,14,584,8.0,0.9565893018886064,,,
bike_sharing_day,ModelOrientedGeneralizedPCA,-5.8482000836827845,27460476.22423537,-5.674907698645526,826911.534265904,14,584,,,0.0,6.0,965824024.5286543
wine_quality_red,LinearRegression,-25.75496499235775,17.48452638987879,-25.304141025737575,0.6088321204004989,11,1279,,,,,
wine_quality_red,PCA,-48.685358918925104,32.46967317866747,-48.28011354261714,15674698.949286137,11,1279,8.0,0.9801576319873352,,,
wine_quality_red,ModelOrientedGeneralizedPCA,-47.36338982525449,31.605758630041066,-48.614959981809065,480815.6581920238,11,1279,,,0.0,6.0,1229933873.6201382
airfoil_noise,LinearRegression,-161.20288482075537,8126.13387355161,-181.4335197953234,3.67368405635977,5,1202,,,,,
airfoil_noise,PCA,-310.7420709607217,15617.834451245819,-331.88576828620387,1.0956053941761357,5,1202,5.0,1.0000000000000002,,,
airfoil_noise,ModelOrientedGeneralizedPCA,-312.2932986656845,15695.54875338551,-332.38921582332364,1.0976003395409726,5,1202,,,0.0,5.0,4403.165828490536
abalone,LinearRegression,-2.1890620698936414,34.522266754919244,-2.217172643931067,1.147062882383561,9,3341,,,,,
abalone,PCA,-8.625244305464857,104.19529134646392,-9.097221950279554,140504.37438711536,9,3341,8.0,0.9993322731229142,,,
abalone,ModelOrientedGeneralizedPCA,-9.236407541893474,110.81126175292646,-9.61647864526185,19549.525582206705,9,3341,,,0.0,6.0,130584304.23958564
bike_sharing_hour,LinearRegression,0.9988908952487896,35.120258162294775,0.9989487260560865,1.2896708921898474,15,13903,,,,,
bike_sharing_hour,PCA,-0.20059947166583214,38017.476120631196,-0.155456056064609,33558939.062227555,15,13903,8.0,0.9044957117389016,,,
bike_sharing_hour,ModelOrientedGeneralizedPCA,-1.2150011770556035,70138.9233822015,-1.093901021100562,1163924.8782838308,15,13903,,,0.0,6.0,32363919983.1187
wine_quality_combined,LinearRegression,-3.621381728162941,3.413106435335033,-3.8334446394868396,0.25735742791559435,12,5197,,,,,
wine_quality_combined,PCA,-46.182311509745674,34.8463426136213,-43.81453529469668,20804606.22778343,12,5197,8.0,0.9524113317115841,,,
wine_quality_combined,ModelOrientedGeneralizedPCA,-45.47308931950132,34.322548873135894,-44.000657845662445,560539.2245601978,12,5197,,,0.0,6.0,5826243968.568465
diabetes,LinearRegression,-1.3971783036419314,12700.61442094656,-1.081311215182466,4.0409574243510535,10,353,,,,,
diabetes,PCA,-4.2447264959505535,27787.356855011774,-3.367299608269959,2080683.701113123,10,353,8.0,0.991799056536175,,,
diabetes,ModelOrientedGeneralizedPCA,-4.934962606535396,31444.332511196153,-3.8896275199033568,238087.5728963056,10,353,,,0.0,6.0,168088757.15522638
wine_quality_white,LinearRegression,-32.01126893674738,25.566340983161652,-30.470366638851836,0.5651492300264875,11,3918,,,,,
wine_quality_white,PCA,-44.31935121301578,35.09862006418783,-43.6691830299707,17965119.67655322,11,3918,8.0,0.9582912710108262,,,
wine_quality_white,ModelOrientedGeneralizedPCA,-44.016719315889674,34.864239789708456,-43.8356105013812,593413.9026272129,11,3918,,,0.0,6.0,4650001685.269904
energy_efficiency,LinearRegression,0.9551014714156045,4.160173597573953,0.9592575113488805,inf,9,614,,,,,
energy_efficiency,PCA,-5.557795393509153,607.6272010359519,-5.686870896973348,inf,9,614,8.0,1.0,,,
energy_efficiency,ModelOrientedGeneralizedPCA,-5.974395621345258,646.2282270212313,-6.64612840832223,inf,9,614,,,0.0,6.0,6150103.479028412
concrete_strength,LinearRegression,0.4937671657490954,130.4466275585845,0.4730454711135539,1.997511518881561,8,824,,,,,
concrete_strength,PCA,-4.367267315094803,1383.0432818439501,-3.9156022506116823,1.8577574939679828,8,824,8.0,1.0,,,
concrete_strength,ModelOrientedGeneralizedPCA,-5.045448159837289,1557.7976598415707,-4.5260616034056405,44444.9349873748,8,824,,,0.0,6.0,73245522.44251864
california_housing,LinearRegression,-1.3489586287397035,3.0780964766169396,-1.0832763725012935,0.040320747409824165,8,16512,,,,,
california_housing,PCA,-2.711263912285796,4.863273551280754,-2.598874663283484,0.136421014333568,8,16512,8.0,1.0,,,
california_housing,ModelOrientedGeneralizedPCA,-3.3298495037237767,5.67387366411154,-3.2114258546801793,97254.94062160821,8,16512,,,0.0,6.0,3211921987.1058493
